SNO,INSTCODE,NAME OF THE INSTITUTION,DIST,PLACE,branch_code,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,COLLFEE
103,KIEK,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,KAKINADA,CSC,113155,113155,146048,146048,122225,122225,134512,134512,150969,150969,113155,113155,140899,150457,113155,113155,136853,,43000
104,KIEK,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,KAKINADA,CSD,150329,150329,150329,150329,150329,150329,150329,150329,150329,150329,150329,150329,150329,150329,150329,150329,,,43000
105,KIEK,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,KAKINADA,CSM,122457,138947,146354,146354,127757,138947,148593,148593,131616,138947,122457,138947,138241,138947,122457,138947,129016,146329,43000
106,KIET,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,KAKINADA,AID,87809,87809,151377,151435,151761,151761,116835,142522,136254,148740,97317,125330,143469,143469,144893,144893,118944,148086,43000
107,KIET,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,KAKINADA,CAI,137817,147945,139814,150060,137817,147945,148252,148252,147345,147945,137817,147945,149711,149711,150083,150083,121452,148022,43000
108,KIET,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,KAKINADA,CSC,113396,128919,149534,151045,150749,150749,149590,149590,133730,142250,149531,149531,113396,128919,148190,148190,147340,145923,43000
109,KIET,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,KAKINADA,CSD,123817,134500,150185,150185,145964,145964,144582,145961,148473,150216,123817,146336,142144,142144,123817,148548,142722,135612,43000
110,KIET,"KAKINADA INSTITUTE OF ENGG. AND
TECHNOLOGY",EG,KAKINADA,CSM,137448,137448,147944,147944,148654,148654,137654,150692,137448,149851,137448,137448,149640,149640,137448,137752,128123,150291,43000
111,KIEW,"KAKINADA INST OF ENGG AND
TECHNOLOGY FOR WOMEN",EG,KAKINADA,AID,,90725,,142175,,140618,,147609,,145029,,103337,,148373,,143465,,130708,43000
112,KIEW,"KAKINADA INST OF ENGG AND
TECHNOLOGY FOR WOMEN",EG,KAKINADA,CAI,,123257,,143608,,147777,,136465,,140896,,,,130754,,126001,,144322,43000
113,KIEW,"KAKINADA INST OF ENGG AND
TECHNOLOGY FOR WOMEN",EG,KAKINADA,CSM,,134484,,134484,,141147,,134484,,140720,,134484,,144246,,134484,,147441,43000
114,KISR,"KAKINADA INSTITUTE OF
TECHNOLOGY SCIENCES",EG,"RAMACHANDRAP
URAM",CSE,61695,61695,141091,141091,129278,129278,146968,146968,138911,145007,61695,61695,138121,138121,61695,124510,150359,100429,43000
115,KISR,"KAKINADA INSTITUTE OF
TECHNOLOGY SCIENCES",EG,"RAMACHANDRAP
URAM",ECE,140189,140189,140189,140189,140189,140189,140189,140189,140189,140189,140189,140189,140189,140189,140189,140189,135032,,43000
116,KISR,"KAKINADA INSTITUTE OF
TECHNOLOGY SCIENCES",EG,"RAMACHANDRAP
URAM",MEC,108513,108513,108513,108513,108513,108513,108513,108513,108513,108513,108513,108513,108513,108513,108513,108513,,,43000
117,KISR,"KAKINADA INSTITUTE OF
TECHNOLOGY SCIENCES",EG,"RAMACHANDRAP
URAM",PHE,142983,142983,142983,142983,142983,142983,142983,142983,142983,142983,142983,142983,142983,142983,142983,142983,,,43000
118,KTSP,"KAKINADA INSTITUTE OF
TECHNOLOGY AND SCIENCE",EG,DIVILI,AGR,145160,145160,145160,151749,145160,145160,145160,145160,145160,145160,145160,145160,145160,145160,145160,145160,,,43000
119,KTSP,"KAKINADA INSTITUTE OF
TECHNOLOGY AND SCIENCE",EG,DIVILI,AID,114809,114809,142375,142375,139989,139989,114809,114809,114809,149263,114809,114809,114809,114809,150050,150050,,144911,43000
120,KTSP,"KAKINADA INSTITUTE OF
TECHNOLOGY AND SCIENCE",EG,DIVILI,CIV,150208,150208,151344,151344,150208,150208,150208,150208,150208,150208,150208,150208,150208,150208,150208,150208,,,43000
121,KTSP,"KAKINADA INSTITUTE OF
TECHNOLOGY AND SCIENCE",EG,DIVILI,CSE,103839,103839,143549,150221,123168,123168,148753,148753,137296,139192,103839,103839,123633,124602,143358,143358,149751,128806,43000
122,KTSP,"KAKINADA INSTITUTE OF
TECHNOLOGY AND SCIENCE",EG,DIVILI,ECE,135447,144348,135932,144348,135447,144348,135447,144348,149139,149139,135447,144348,150662,150662,135447,144348,114575,,43000
123,KTSP,"KAKINADA INSTITUTE OF
TECHNOLOGY AND SCIENCE",EG,DIVILI,MEC,141153,141153,141153,141153,141153,141153,141153,141153,141153,141153,141153,141153,141153,141153,141153,141153,,,43000
124,LENO,LENORA COLLEGE OF ENGINEERING,EG,"RAMPACHODAVA
RAM",CSE,118065,118065,151718,151718,133113,133113,133712,133712,118065,118065,118065,118065,149961,149961,118065,118065,131915,,43000
125,LENO,LENORA COLLEGE OF ENGINEERING,EG,"RAMPACHODAVA
RAM",ECE,116496,116496,116496,133314,116496,116496,116496,116496,116496,116496,116496,116496,116496,116496,116496,116496,144778,,43000
126,LENO,LENORA COLLEGE OF ENGINEERING,EG,"RAMPACHODAVA
RAM",EEE,137541,137541,137541,137541,137541,137541,137541,137541,137541,137541,137541,137541,137541,137541,137541,137541,,,43000
127,LENO,LENORA COLLEGE OF ENGINEERING,EG,"RAMPACHODAVA
RAM",MEC,55082,55082,55082,55082,55082,55082,55082,55082,55082,55082,55082,55082,55082,55082,55082,55082,,,43000
128,PRAG,PRAGATI ENGINEERING COLLEGE,EG,PEDDAPURAM,CAI,35197,35197,151515,151764,148156,148156,63764,64416,61980,62631,67848,67848,46140,47338,120754,149633,38432,38136,69300
129,PRAG,PRAGATI ENGINEERING COLLEGE,EG,PEDDAPURAM,CIV,93588,93588,138828,138828,117545,117545,125652,125652,135615,149600,93588,118540,115363,115363,136082,145023,127030,105602,69300
130,PRAG,PRAGATI ENGINEERING COLLEGE,EG,PEDDAPURAM,CSC,38089,38089,122312,122312,137699,145488,69746,82510,58475,58475,50613,50613,49085,50414,38089,87992,40605,40840,69300
131,PRAG,PRAGATI ENGINEERING COLLEGE,EG,PEDDAPURAM,CSD,31936,31936,138095,139541,137048,148441,53173,71973,55548,55548,42921,42921,80701,80701,99849,118036,36235,37208,69300
132,PRAG,PRAGATI ENGINEERING COLLEGE,EG,PEDDAPURAM,CSE,20450,20450,59269,59269,106744,110013,26645,26645,23841,24532,20450,70304,24996,27241,37851,37851,26823,18397,69300
133,PRAG,PRAGATI ENGINEERING COLLEGE,EG,PEDDAPURAM,CSM,23224,23561,115495,121225,125763,139712,42115,121743,40104,41207,92873,92873,35390,35390,97115,97115,29223,26861,69300
134,PRAG,PRAGATI ENGINEERING COLLEGE,EG,PEDDAPURAM,ECE,66238,86347,143746,149705,130068,149189,71597,89672,67628,86347,66238,86347,66238,86347,106581,106581,91986,45782,69300
135,PRAG,PRAGATI ENGINEERING COLLEGE,EG,PEDDAPURAM,EEE,60304,106460,151454,151454,64053,106460,116712,116712,86357,106460,60304,106460,71697,106460,60304,106460,67698,62115,69300
136,PRAG,PRAGATI ENGINEERING COLLEGE,EG,PEDDAPURAM,INF,31590,31590,109405,109405,113622,113622,44840,44840,50397,63387,31590,31590,45557,45557,85990,85990,32407,35375,69300
137,PRAG,PRAGATI ENGINEERING COLLEGE,EG,PEDDAPURAM,MEC,88513,132467,151485,151485,119304,132467,133252,133252,103816,132467,88513,132467,108270,132467,133932,133932,106567,143067,69300
138,PREC,"DR PAUL RAJS ENGINEERING
COLLEGE",EG,YETAPAKA,CIV,139946,139946,139946,139946,139946,139946,139946,139946,139946,139946,139946,139946,139946,139946,139946,139946,,,43000
139,PREC,"DR PAUL RAJS ENGINEERING
COLLEGE",EG,YETAPAKA,CSE,110215,110215,146248,149974,121073,121073,140962,147107,151252,151252,110215,110215,122842,122842,110215,110215,135414,,43000
140,PREC,"DR PAUL RAJS ENGINEERING
COLLEGE",EG,YETAPAKA,ECE,144747,144747,144747,144747,144747,144747,144747,144747,144747,144747,144747,144747,144747,144747,144747,144747,,,43000
141,PREC,"DR PAUL RAJS ENGINEERING
COLLEGE",EG,YETAPAKA,EEE,126667,126667,126667,126667,126667,126667,126667,126667,126667,126667,126667,126667,126667,126667,126667,126667,,,43000
142,PREC,"DR PAUL RAJS ENGINEERING
COLLEGE",EG,YETAPAKA,MEC,137885,137885,137885,137885,137885,137885,137885,137885,137885,137885,137885,137885,137885,137885,137885,137885,,,43000
143,PYDE,PYDAH COLL OF ENGINEERING,EG,KAKINADA,CAI,148387,148387,148387,148387,148387,148387,148387,148387,148387,148387,148387,149410,148387,148387,148387,148387,126116,122244,43000
144,PYDE,PYDAH COLL OF ENGINEERING,EG,KAKINADA,CSE,92395,92395,151464,151464,112214,112214,149866,149866,146487,146487,92395,92395,145611,145611,138462,146970,131436,109742,43000
145,PYDE,PYDAH COLL OF ENGINEERING,EG,KAKINADA,ECE,112537,124670,151095,151095,112537,124670,149863,149863,115853,148985,112537,124670,149803,150200,112537,124670,125696,149479,43000
146,PYDP,PYDAH COLLEGE OF PHARMACY,EG,KAKINADA,PHM,123068,123068,123068,123068,123068,123068,123068,123068,123068,123068,123068,123068,123068,123068,123068,123068,,,38000
147,RGCP,"RAJIV GANDHI COLLEGE OF
PHARMACY",EG,RAJAHMUNDRY,PHM,151745,151745,151758,151758,151766,151766,151745,151745,151775,151775,,151745,151745,151745,151745,151745,,,39700
148,RIET,"RAJAMAHENDRI INST OF ENGG AND
TECHNOLOGY",EG,RAJAHMUNDRY,CSD,127384,127384,127384,127384,127384,127384,127384,127384,127384,127384,127384,127384,137875,137875,127384,127384,129716,143458,43000
149,RIET,"RAJAMAHENDRI INST OF ENGG AND
TECHNOLOGY",EG,RAJAHMUNDRY,CSE,131451,131451,150454,150454,131451,131451,149556,149556,131451,146065,131451,136294,135369,146377,146620,146620,97034,106709,43000
150,RIET,"RAJAMAHENDRI INST OF ENGG AND
TECHNOLOGY",EG,RAJAHMUNDRY,CSM,113257,122076,137802,137802,113257,122076,139391,139391,136844,142661,113257,122076,119957,122076,113257,122076,129723,91813,43000
